iter	Logloss
0	0.6717755493
1	0.6508524015
2	0.6321112217
3	0.6148903268
4	0.5979714123
5	0.5830860052
6	0.5688962393
7	0.5576269296
8	0.5451967942
9	0.5354520701
10	0.5247334429
11	0.513561938
12	0.5030634378
13	0.4942398288
14	0.4857956331
15	0.4784563573
16	0.4718493307
17	0.4658205395
18	0.4583491677
19	0.4518894772
20	0.4461943618
21	0.4416590706
22	0.436765859
23	0.4323098447
24	0.4273623885
25	0.4224853941
26	0.4188529261
27	0.4140084345
28	0.4096788994
29	0.4068620074
30	0.4030765419
31	0.4002435187
32	0.3978644917
33	0.395292915
34	0.3924817133
35	0.3891622156
36	0.386112695
37	0.3840700731
38	0.3816103861
39	0.3798432442
40	0.3778958453
41	0.3762096283
42	0.3742128585
43	0.3724075868
44	0.3709609331
45	0.369529046
46	0.3684485812
47	0.3668756366
48	0.3649593492
49	0.3632867457
50	0.3620478917
51	0.3607832079
52	0.3597914856
53	0.3584467148
54	0.3571227835
55	0.356292756
56	0.3553025022
57	0.3546358164
58	0.3537814863
59	0.3528781877
60	0.3521571978
61	0.3512851918
62	0.3505244807
63	0.3498767657
64	0.3491337652
65	0.3484756074
66	0.3478941787
67	0.3471695611
68	0.3460255229
69	0.3453377549
70	0.3444126597
71	0.3439410763
72	0.34304261
73	0.3421684545
74	0.3416574343
75	0.3412086028
76	0.3405676687
77	0.3401818978
78	0.3398857926
79	0.3394143347
80	0.3390298786
81	0.3385415486
82	0.3380626887
83	0.3376504978
84	0.3371364152
85	0.336445547
86	0.3360451716
87	0.3355972005
88	0.335312053
89	0.3350742991
90	0.3345136103
91	0.3342385107
92	0.333676094
93	0.3333556799
94	0.3328222315
95	0.3323040918
96	0.3319599813
97	0.3315171511
98	0.3312715016
99	0.3310531026
100	0.3308103961
101	0.3305369661
102	0.3301260633
103	0.3297475596
104	0.3295172673
105	0.3291148863
106	0.3286477728
107	0.3284176346
108	0.3282177097
109	0.3279702785
110	0.3276800092
111	0.327491778
112	0.3272865376
113	0.3268899834
114	0.32654713
115	0.3263884197
116	0.3260491138
117	0.3259009096
118	0.3254786885
119	0.3252456021
120	0.3250185816
121	0.324614726
122	0.3244027729
123	0.3242515995
124	0.3240912552
125	0.3239147781
126	0.3235429052
127	0.3233904621
128	0.323188198
129	0.3228972524
130	0.3225197588
131	0.3222805713
132	0.3218900532
133	0.3215953363
134	0.3214523203
135	0.3212335184
136	0.3210930052
137	0.320799444
138	0.3206025274
139	0.3204625215
140	0.3201746613
141	0.3199808553
142	0.3197178859
143	0.3194891102
144	0.3192400271
145	0.3189949073
146	0.3188898877
147	0.3186374635
148	0.3184919178
149	0.318384176
150	0.3181550712
151	0.3179662974
152	0.3178978788
153	0.3176912157
154	0.3175434032
155	0.3173093007
156	0.3170969108
157	0.3170115132
158	0.3168070756
159	0.3166845296
160	0.3165593799
161	0.3163976341
162	0.3162681022
163	0.3160950744
164	0.3158526849
165	0.3156049864
166	0.315520974
167	0.3153679539
168	0.3151429994
169	0.3149604812
