iter	Passed	Remaining
0	7	7388
1	13	6513
2	19	6592
3	25	6358
4	31	6300
5	51	8486
6	58	8244
7	62	7749
8	70	7799
9	77	7702
10	84	7580
11	88	7324
12	93	7081
13	97	6848
14	102	6702
15	105	6514
16	109	6319
17	112	6132
18	117	6047
19	120	5908
20	123	5778
21	127	5650
22	130	5537
23	134	5479
24	138	5388
25	141	5306
26	145	5240
27	150	5212
28	177	5937
29	188	6089
30	194	6078
31	200	6073
32	205	6019
33	209	5952
34	213	5890
35	233	6265
36	241	6286
37	247	6273
38	252	6225
39	256	6158
40	260	6089
41	265	6046
42	268	5974
43	271	5899
44	274	5831
45	277	5764
46	282	5723
47	285	5665
48	289	5614
49	292	5561
50	296	5525
51	303	5528
52	306	5476
53	309	5428
54	314	5407
55	318	5373
56	339	5618
57	347	5646
58	353	5632
59	357	5606
60	364	5607
61	389	5896
62	400	5960
63	408	5970
64	433	6232
65	441	6252
66	464	6466
67	472	6479
68	479	6467
69	484	6434
70	488	6396
71	493	6362
72	502	6375
73	505	6324
74	518	6391
75	532	6469
76	539	6462
77	550	6512
78	555	6480
79	580	6671
80	598	6793
81	603	6757
82	611	6759
83	616	6723
84	640	6895
85	647	6878
86	651	6841
87	657	6818
88	664	6802
89	670	6774
90	678	6776
91	700	6915
92	706	6891
93	714	6882
94	718	6843
95	729	6867
96	733	6829
97	743	6847
98	759	6914
99	776	6987
100	781	6956
101	790	6957
102	795	6930
103	800	6896
104	807	6881
105	812	6856
106	819	6837
107	833	6886
108	839	6864
109	848	6868
110	854	6840
111	859	6810
112	863	6780
113	869	6757
114	894	6880
115	899	6851
116	905	6835
117	911	6816
118	924	6847
119	947	6951
120	959	6971
121	967	6962
122	972	6934
123	977	6903
124	981	6873
125	987	6849
126	993	6827
127	998	6801
128	1003	6778
129	1008	6752
130	1014	6731
131	1020	6708
132	1025	6687
133	1030	6659
134	1060	6797
135	1066	6778
136	1072	6756
137	1091	6818
138	1122	6953
139	1127	6924
140	1132	6901
141	1138	6876
142	1142	6848
143	1147	6822
144	1167	6885
145	1172	6858
146	1177	6830
147	1182	6808
148	1187	6779
149	1191	6750
150	1196	6728
151	1200	6699
152	1203	6664
153	1207	6635
154	1212	6612
155	1218	6591
156	1248	6704
157	1257	6699
158	1263	6685
159	1283	6737
160	1290	6727
161	1297	6713
162	1324	6801
163	1337	6818
164	1347	6817
165	1371	6888
166	1403	6998
167	1416	7012
168	1423	6997
169	1429	6978
170	1434	6956
171	1439	6927
172	1443	6900
173	1447	6871
174	1450	6839
175	1454	6807
176	1457	6778
177	1467	6778
178	1471	6748
179	1475	6719
180	1478	6692
181	1482	6662
182	1485	6633
183	1489	6604
184	1493	6577
185	1496	6550
186	1500	6523
187	1503	6495
188	1508	6471
189	1511	6445
190	1515	6417
191	1518	6392
192	1522	6366
193	1528	6349
194	1531	6324
195	1535	6298
196	1538	6272
197	1542	6248
198	1565	6303
199	1575	6301
200	1592	6330
201	1599	6317
202	1607	6312
203	1613	6295
204	1619	6282
205	1659	6395
206	1672	6406
207	1679	6396
208	1685	6379
209	1701	6402
210	1713	6406
211	1718	6388
212	1723	6368
213	1727	6345
214	1730	6319
215	1734	6294
216	1737	6271
217	1741	6246
218	1744	6220
219	1747	6195
220	1750	6170
221	1753	6145
222	1757	6124
223	1780	6168
224	1791	6171
225	1798	6161
226	1821	6201
227	1836	6218
228	1842	6203
229	1848	6189
230	1854	6174
231	1861	6162
232	1868	6150
233	1881	6158
234	1895	6170
235	1899	6150
236	1904	6130
237	1908	6111
238	1912	6090
239	1916	6068
240	1920	6046
241	1923	6024
242	1927	6005
243	1930	5981
244	1934	5960
245	1940	5948
246	1943	5925
247	1946	5902
248	1950	5881
249	1953	5859
250	1956	5838
251	1959	5815
252	1962	5793
253	1965	5773
254	1970	5757
255	1973	5736
256	1976	5714
257	1979	5693
258	1983	5675
259	1986	5655
260	1989	5632
261	1992	5611
262	1995	5591
263	1999	5573
264	2002	5553
265	2005	5533
266	2008	5514
267	2012	5495
268	2016	5478
269	2019	5460
270	2022	5441
271	2026	5422
272	2029	5404
273	2071	5487
274	2087	5504
275	2094	5495
276	2102	5487
277	2107	5473
278	2112	5460
279	2147	5521
280	2162	5533
281	2177	5542
282	2222	5630
283	2236	5638
284	2254	5656
285	2263	5651
286	2284	5674
287	2315	5723
288	2344	5768
289	2357	5771
290	2366	5765
291	2372	5753
292	2378	5739
293	2383	5722
294	2387	5704
295	2391	5686
296	2395	5669
297	2398	5650
298	2401	5631
299	2404	5611
300	2408	5593
301	2411	5574
302	2414	5554
303	2417	5534
304	2420	5515
305	2424	5498
306	2451	5533
307	2464	5536
308	2472	5528
309	2495	5555
310	2503	5546
311	2519	5555
312	2541	5578
313	2555	5583
314	2570	5590
315	2576	5576
316	2580	5560
317	2584	5543
318	2589	5527
319	2593	5510
320	2618	5538
321	2663	5608
322	2677	5610
323	2684	5601
324	2691	5589
325	2696	5574
326	2700	5558
327	2706	5544
328	2709	5527
329	2713	5509
330	2717	5491
331	2737	5507
332	2746	5500
333	2762	5508
334	2770	5498
335	2776	5487
336	2783	5475
337	2791	5466
338	2795	5451
339	2800	5436
340	2804	5420
341	2808	5402
342	2811	5385
343	2814	5367
344	2818	5351
345	2822	5334
346	2825	5316
347	2827	5298
348	2830	5279
349	2834	5263
350	2837	5246
351	2840	5228
352	2842	5210
353	2845	5192
354	2849	5176
355	2873	5197
356	2887	5201
357	2895	5192
358	2902	5183
359	2908	5169
360	2913	5156
361	2917	5142
362	2921	5127
363	2925	5112
364	2940	5115
365	2943	5099
366	2947	5083
367	2950	5067
368	2953	5051
369	2956	5034
370	2959	5017
371	2962	5001
372	2970	4993
373	2973	4976
374	2976	4961
375	2980	4947
376	2984	4931
377	2987	4915
378	2990	4899
379	2993	4883
380	2996	4868
381	2999	4853
382	3002	4837
383	3005	4821
384	3008	4806
385	3011	4790
386	3038	4812
387	3048	4809
388	3054	4798
389	3061	4788
390	3074	4788
391	3078	4775
392	3090	4772
393	3094	4758
394	3098	4746
395	3101	4730
396	3104	4715
397	3107	4700
398	3113	4689
399	3136	4704
400	3139	4689
401	3143	4675
402	3149	4665
403	3187	4703
404	3202	4705
405	3207	4692
406	3213	4681
407	3217	4668
408	3220	4654
409	3224	4639
410	3228	4626
411	3231	4612
412	3234	4597
