iter	Passed	Remaining
0	93	93601
1	183	91758
2	269	89673
3	357	89005
4	446	88839
5	525	87110
6	609	86502
7	706	87573
8	815	89790
9	916	90773
10	998	89804
11	1093	90045
12	1194	90687
13	1300	91600
14	1407	92408
15	1507	92702
16	1613	93271
17	1736	94751
18	1822	94096
19	1923	94232
20	2027	94516
21	2136	94975
22	2240	95188
23	2318	94282
24	2401	93660
25	2493	93410
26	2574	92765
27	2654	92164
28	2738	91682
29	2802	90620
30	2879	90013
31	2952	89304
32	3032	88856
33	3118	88612
34	3202	88286
35	3283	87918
36	3355	87335
37	3467	87772
38	3566	87871
39	3676	88226
40	3780	88428
41	3865	88174
42	3959	88126
43	4084	88734
44	4189	88901
45	4277	88704
46	4356	88343
47	4433	87928
48	4510	87549
49	4588	87189
50	4671	86923
51	4743	86484
52	4828	86270
53	4901	85870
54	4977	85515
55	5059	85288
56	5142	85082
57	5216	84721
58	5292	84412
59	5374	84206
60	5451	83911
61	5530	83677
62	5607	83402
63	5687	83177
64	5759	82845
65	5836	82599
66	5924	82498
67	6004	82303
68	6085	82104
69	6163	81881
70	6240	81659
71	6321	81480
72	6402	81299
73	6481	81110
74	6554	80840
75	6635	80674
76	6712	80464
77	6790	80261
78	6865	80037
79	6943	79855
80	7017	79622
81	7094	79420
82	7173	79250
83	7251	79076
84	7331	78922
85	7410	78753
86	7494	78645
87	7584	78606
88	7709	78917
89	7808	78950
90	7911	79029
91	8056	79510
92	8157	79553
93	8258	79598
94	8359	79638
95	8450	79579
96	8551	79605
97	8657	79683
98	8761	79734
99	8860	79745
100	8955	79710
101	9064	79806
102	9162	79796
103	9254	79734
104	9406	80179
105	9502	80146
106	9596	80092
107	9692	80051
108	9789	80022
109	9870	79858
110	9955	79732
111	10029	79521
112	10101	79289
113	10171	79050
114	10240	78804
115	10313	78592
116	10383	78366
117	10458	78175
118	10526	77927
119	10598	77721
120	10666	77489
121	10752	77383
122	10831	77232
123	10913	77097
124	11080	77566
125	11187	77601
126	11287	77590
127	11380	77530
128	11477	77492
129	11558	77353
130	11656	77326
131	11746	77245
132	11831	77129
133	11928	77088
134	12019	77016
135	12109	76932
136	12202	76869
137	12308	76881
138	12465	77214
139	12591	77349
140	12686	77288
141	12784	77247
142	12877	77177
143	12972	77114
144	13058	76999
145	13201	77218
146	13349	77464
147	13443	77390
148	13533	77294
149	13638	77285
150	13740	77255
151	13839	77212
152	13934	77139
153	14035	77102
154	14126	77013
155	14208	76869
156	14282	76688
157	14360	76526
158	14424	76297
159	14496	76106
160	14599	76080
161	14704	76061
162	14784	75919
163	14880	75853
164	14965	75732
165	15062	75676
166	15163	75636
167	15271	75627
168	15358	75519
169	15450	75433
170	15530	75291
171	15619	75190
172	15704	75074
173	15798	74997
174	15880	74863
175	15962	74734
176	16054	74647
177	16143	74550
178	16258	74572
179	16349	74480
180	16442	74398
181	16548	74378
182	16638	74281
183	16740	74240
184	16831	74149
185	16929	74087
186	17002	73920
187	17097	73847
188	17185	73743
189	17291	73715
190	17385	73636
191	17474	73536
192	17568	73461
